trigger_type,model_index,anomaly_metric
warped,1,1.638524401708109
warped,2,1.5706450634466218
warped,3,2.0190335680590477
warped,4,1.0623068120243704
warped,5,3.0642582256888415
warped,6,6.643770431267713
warped,7,3.3798193496389013
warped,8,0.9430757524598249
warped,9,1.9059214914636258
warped,10,11.752425811315742
