trigger_type,model_index,anomaly_metric
clean,1,0.33071733873194176
clean,2,14.904426599867895
clean,3,1.4929487229683616
clean,4,14.537620420481973
clean,5,0.604446201785592
clean,6,170.3242008361543
clean,7,2.063905010497761
clean,8,10.38403188387108
clean,9,258.1470627492821
clean,10,2.9343114227180696
clean,11,5.44374889293442
clean,12,0.4657535899495983
clean,13,25.832128252859473
clean,14,2.2300873328178334
clean,15,7.2103243953455936
clean,16,269.2543537919113
clean,17,6.571285718165615
clean,18,0.875940948218762
clean,19,1.9860182095974437
clean,20,1.6677682517650414
clean,21,1.4725559438066922
clean,22,0.772612593150726
clean,23,2.572795991062381
clean,24,5.025212313835498
clean,25,7.776508680465369
clean,26,10.619850187580171
clean,27,1.7595806847757332
clean,28,1.1146750127885048
clean,29,9.2875555472972
clean,30,5.324242861777472
clean,31,1.5868220354760614
clean,32,0.42652509145401934
clean,33,18.793133925125108
clean,34,6.469998367038243
clean,35,5.926277541934599
clean,36,43.34821404241308
clean,37,1.7127597141380486
clean,38,9.672516676373753
clean,39,4.002575578167793
clean,40,10.336866401222968
clean,41,0.9702510331292995
clean,42,2.9307712836390696
clean,43,1.3537350278398503
clean,44,13.007160543910366
clean,45,2.5279369816219863
clean,46,2.5444346576128187
clean,47,1.707810046992311
clean,48,12.714714155409357
clean,49,12.200154634090781
clean,50,0.8644050718614446
clean,51,1.51500047647926
clean,52,1.3103729134872337
clean,53,5380.014689538788
clean,54,3.6868974989561196
clean,55,0.5718570080029949
clean,56,0.5450560284195175
clean,57,1.0430525011690188
clean,58,5.596250801489509
clean,59,1.5175500172750735
clean,60,1.8098526081552226
